State,ST,Ann_50MeterCapMW,Ann_80Meter30GenGWH,Ann_80Meter30CapMW,Ann_80Meter35GenGWH,Ann_80Meter35CapMW,Ann_80Meter40GenGWH,Ann_80Meter40CapMW,Ann_100Meter30GenGWH,Ann_100Meter30CapMW,Ann_100Meter35GenGWH,Ann_100Meter35CapMW,Ann_100Meter40GenGWH,Ann_100Meter40CapMW,Ann_Offshore_potenGenerationGWH,Ann_OffshorePotentialCapMW,Ann_Gen_GWH
Maine,ME,22000,56000,11251,33779,3450,11961,1117,4411,30847,91894,8777,30106,2614,10158,147418,631960
Maryland,MD,1200,3000,1483,4269,189,607,12,43,2713,7975,855,2753,46,167,51909,200852
Massachusetts,MA,9900,25000,1028,3323,536,1945,321,1237,1913,6082,841,3074,474,1887,184076,799344
Michigan,MI,26000,65000,59042,169221,11662,37619,394,1420,179056,523374,39312,129467,6571,23774,422577,1739801
Minnesota,MN,260000,657000,489271,1679480,388907,1392590,175181,681616,603427,2170610,483459,1832230,369909,1457950,29215,100455
Mississippi,MS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3213,10172
Missouri,MO,21000,52000,274355,810619,78917,256650,6816,24672,399635,1267920,247470,831473,58815,215946,,
Montana,MT,410000,1020000,944004,3228620,718503,2581510,397857,1529560,1012355,3661840,868012,3247260,586758,2318760,,
Nebraska,NE,340000,868000,917999,3540370,888696,3455480,777165,3084090,921075,3847090,916159,3832600,879966,3712120,,
Nevada,NV,20000,50000,7247,20823,1290,4263,220,810,12034,34478,1917,6328,319,1179,,
New Hampshire,NH,1700,4000,2135,6706,962,3405,405,1593,3919,12263,1707,6046,714,2815,3456,14478
New Jersey,NJ,4100,10000,132,373,15,47,0,0,349,997,53,171,0,0,101935,429808
New Mexico,NM,170000,435000,492083,1644970,325002,1170490,185745,712877,568112,1966290,407760,1509690,259707,1025110,,
New York,NY,24000,62000,25781,74695,4805,15826,667,2560,57639,172787,20418,67619,3205,11982,146077,614280
North Carolina,NC,2900,7000,808,2395,196,695,86,337,1500,4461,348,1220,131,518,306020,1269627
North Dakota,ND,480000,1210000,770196,2983750,760034,2954260,692821,2728620,771791,3230900,769479,3224180,756497,3180710,,
Ohio,OH,1400,4000,54920,151881,1163,3662,1,3,123328,359816,24823,78712,354,1258,41804,170561
Oklahoma,OK,290000,725000,516822,1788910,400674,1457740,247773,952678,614804,2236000,505259,1923820,379335,1509670,,
Oregon,OR,17000,43000,27100,80855,8094,27517,2207,8439,50566,151033,15588,53040,4393,16760,225008,962723
Pennsylvania,PA,18000,45000,3307,9673,811,2685,148,546,7222,21214,1863,6195,347,1290,5674,23571
Rhode Island,RI,380,1000,47,153,28,99,14,55,84,267,41,148,22,87,20965,89115
South Carolina,SC,200,500,185,504,3,11,1,3,1215,3362,19,60,2,7,133217,542218
South Dakota,SD,400000,1030000,882412,3411690,852372,3325230,766383,3039460,890626,3690490,875059,3645620,833893,3508870,,
Tennessee,TN,640,2000,309,900,65,220,17,66,817,2355,143,479,29,113,,
Texas,TX,470000,1190000,1901530,6527850,1360186,4989570,826983,3240930,2320793,8299400,1757356,6696500,1226633,4953700,271443,1101063
Utah,UT,9600,24000,13104,37104,1517,4939,139,511,26237,74704,3390,10988,275,1007,,
Vermont,VT,1800,5000,2949,9163,1195,4243,510,2013,5637,17394,2186,7710,888,3495,,
Virginia,VA,4800,12000,1793,5395,615,2070,156,592,3466,10336,1111,3747,245,931,89073,361054
Washington,WA,13000,33000,18479,55550,6298,21289,1588,6052,32606,98132,11283,38403,3149,11969,120964,488025
West Virginia,WV,2000,5000,1883,5820,820,2822,280,1066,2772,8627,1270,4394,465,1771,,
Wisconsin,WI,22000,56000,103757,300136,20741,66171,244,872,215447,650776,86368,284709,11551,41634,80672,317755
Wyoming,WY,290000,747000,552073,1944340,432083,1601240,262410,1043890,593769,2176620,497132,1900530,351867,1421170,,
